id	rate
48241	1.0
48245	1.0
48249	2.0
48251	1.0
48253	0.0
48257	1.0
48265	0.0
48273	2.0
48277	1.0
48279	0.0
48293	1.0
48299	1.0
48303	2.0
48309	1.0
48321	1.0
48323	2.0
48329	1.0
48337	1.0
48339	2.0
48341	1.0
48347	1.0
48349	2.0
48353	0.0
48355	2.0
48363	0.0
48365	2.0
48367	2.0
48371	1.0
48373	2.0
48375	1.0
48397	1.0
48401	2.0
48409	1.0
48423	2.0
48425	0.0
48427	0.0
48429	0.0
48439	1.0
48441	1.0
48445	0.0
48449	0.0
48451	1.0
48453	2.0
48455	2.0
48457	0.0
48463	1.0
48465	1.0
48469	1.0
48471	1.0
48477	1.0
48479	2.0
48481	1.0
48485	1.0
48487	0.0
48491	1.0
48493	1.0
48497	1.0
48503	0.0
49001	0.0
49003	1.0
49005	0.0
49007	1.0
49011	1.0
49013	0.0
49017	0.0
49021	0.0
49035	1.0
49041	0.0
49043	0.0
49045	1.0
49047	1.0
49049	1.0
49053	0.0
49057	1.0
50003	0.0
50007	1.0
50011	0.0
50021	1.0
50023	0.0
50025	0.0
51003	0.0
51005	1.0
51013	0.0
51015	0.0
51019	0.0
51027	1.0
51041	2.0
51047	1.0
51057	0.0
51059	1.0
51061	1.0
51067	1.0
51073	0.0
51083	0.0
51085	1.0
51087	2.0
51089	1.0
51095	1.0
51103	0.0
51107	0.0
51117	1.0
51121	1.0
51131	0.0
51147	0.0
51153	1.0
51155	1.0
51167	1.0
51173	1.0
51177	1.0
51179	1.0
51185	1.0
51187	0.0
51191	1.0
51195	0.0
51197	1.0
53005	1.0
53007	0.0
53009	0.0
53011	1.0
53015	1.0
53025	0.0
53027	1.0
53033	1.0
53035	2.0
53041	1.0
53053	2.0
53057	1.0
53061	1.0
53063	1.0
53067	2.0
53071	1.0
53073	1.0
53077	1.0
54003	0.0
54011	1.0
54025	0.0
54029	0.0
54033	0.0
54039	1.0
54041	0.0
